Day,start_time_program,trial_latency_behav_end,Box,Date,Replicate,Vial_number,Activity,court_duration,Temp,Humidity,BP 12:00 am,BP 8:00 Am,BP Room,Video_Initition,Observation Initiation,Video_End
115,12:09:45,11,A,11,1,1,c,2,25,25,99.8,99.3,997,0,0,1131
115,12:09:57,32,A,11,1,1,c,11,25,25,99.8,99.3,997,0,0,1131
115,12:10:15,48,A,11,1,1,c,10,25,25,99.8,99.3,997,0,0,1131
115,12:10:35,66,A,11,1,2,c,7,25,25,99.8,99.3,997,0,43,1131
115,12:10:32,80,A,11,1,1,c,24,25,25,99.8,99.3,997,0,0,1131
115,12:11:03,96,A,11,1,2,c,8,25,25,99.8,99.3,997,0,43,1131
115,12:11:15,103,A,11,1,2,c,4,25,25,99.8,99.3,997,0,43,1131
115,12:11:00,148,A,11,1,1,c,63,25,25,99.8,99.3,997,0,0,1131
115,12:12:16,165,A,11,1,2,c,5,25,25,99.8,99.3,997,0,43,1131
115,12:12:18,176,A,11,1,1,c,13,25,25,99.8,99.3,997,0,0,1131
115,12:12:35,208,A,11,1,2,c,29,25,25,99.8,99.3,997,0,43,1131
115,12:12:54,211,A,11,1,3,c,14,25,25,99.8,99.3,997,0,144,1131
115,12:12:39,216,A,11,1,1,c,33,25,25,99.8,99.3,997,0,0,1131
115,12:13:27,237,A,11,1,1,c,6,25,25,99.8,99.3,997,0,0,1131
115,12:13:14,245,A,11,1,3,c,26,25,25,99.8,99.3,997,0,144,1131
115,12:13:35,247,A,11,1,4,c,9,25,25,99.8,99.3,997,0,197,1131
115,12:13:37,252,A,11,1,2,c,10,25,25,99.8,99.3,997,0,43,1131
115,12:13:51,270,A,11,1,1,c,16,25,25,99.8,99.3,997,0,0,1131
115,12:13:58,281,A,11,1,2,c,19,25,25,99.8,99.3,997,0,43,1131
115,12:14:09,309,A,11,1,1,c,35,25,25,99.8,99.3,997,0,0,1131
115,12:15:29,356,A,11,1,4,c,3,25,25,99.8,99.3,997,0,197,1131
115,12:15:49,384,A,11,1,3,c,10,25,25,99.8,99.3,997,0,144,1131
115,12:16:01,404,A,11,1,3,c,18,25,25,99.8,99.3,997,0,144,1131
115,12:14:46,421,A,11,1,1,c,111,25,25,99.8,99.3,997,0,0,1131
115,12:16:35,431,A,11,1,4,c,12,25,25,99.8,99.3,997,0,197,1131
115,12:16:40,432,A,11,1,1,c,7,25,25,99.8,99.3,997,0,0,1131
115,12:17:01,473,A,11,1,1,c,27,25,25,99.8,99.3,997,0,0,1131
115,12:17:26,477,A,11,1,2,c,8,25,25,99.8,99.3,997,0,43,1131
115,12:16:59,485,A,11,1,3,c,42,25,25,99.8,99.3,997,0,144,1131
115,12:17:52,498,A,11,1,4,c,2,25,25,99.8,99.3,997,0,197,1131
115,12:17:46,506,A,11,1,1,c,15,25,25,99.8,99.3,997,0,0,1131
115,12:18:05,516,A,11,1,1,c,7,25,25,99.8,99.3,997,0,0,1131
115,12:18:18,527,A,11,1,2,c,4,25,25,99.8,99.3,997,0,43,1131
115,12:18:51,558,A,11,1,4,c,2,25,25,99.8,99.3,997,0,197,1131
115,12:17:48,561,A,11,1,3,c,69,25,25,99.8,99.3,997,0,144,1131
115,12:19:02,568,A,11,1,4,c,2,25,25,99.8,99.3,997,0,197,1131
115,12:19:07,580,A,11,1,4,c,9,25,25,99.8,99.3,997,0,197,1131
115,12:19:31,599,A,11,1,2,c,3,25,25,99.8,99.3,997,0,43,1131
115,12:18:15,604,A,11,1,1,c,85,25,25,99.8,99.3,997,0,0,1131
115,12:19:48,615,A,11,1,3,c,3,25,25,99.8,99.3,997,0,144,1131
115,12:19:45,624,A,11,1,4,c,15,25,25,99.8,99.3,997,0,197,1131
115,12:19:52,635,A,11,1,1,c,18,25,25,99.8,99.3,997,0,0,1131
115,12:20:16,649,A,11,1,1,c,8,25,25,99.8,99.3,997,0,0,1131
115,12:20:28,656,A,11,1,1,c,5,25,25,99.8,99.3,997,0,0,1131
115,12:20:22,671,A,11,1,3,c,25,25,25,99.8,99.3,997,0,144,1131
115,12:20:45,678,A,11,1,4,c,8,25,25,99.8,99.3,997,0,197,1131
115,12:20:50,686,A,11,1,1,c,12,25,25,99.8,99.3,997,0,0,1131
115,12:21:07,693,A,11,1,1,c,2,25,25,99.8,99.3,997,0,0,1131
115,12:21:14,700,A,11,1,3,c,2,25,25,99.8,99.3,997,0,144,1131
115,12:21:18,712,A,11,1,4,c,9,25,25,99.8,99.3,997,0,197,1131
115,12:21:31,718,A,11,1,4,c,2,25,25,99.8,99.3,997,0,197,1131
115,12:21:17,729,A,11,1,1,c,27,25,25,99.8,99.3,997,0,0,1131
115,12:22:31,777,A,11,1,2,c,2,25,25,99.8,99.3,997,0,43,1131
115,12:21:53,790,A,11,1,1,c,53,25,25,99.8,99.3,997,0,0,1131
115,12:22:44,810,A,11,1,2,c,22,25,25,99.8,99.3,997,0,43,1131
115,12:23:07,824,A,11,1,4,c,12,25,25,99.8,99.3,997,0,197,1131
115,12:23:04,850,A,11,1,1,c,42,25,25,99.8,99.3,997,0,0,1131
115,12:23:56,871,A,11,1,1,c,11,25,25,99.8,99.3,997,0,0,1131
115,12:23:36,873,A,11,1,3,c,33,25,25,99.8,99.3,997,0,144,1131
115,12:25:05,930,A,11,1,3,c,1,25,25,99.8,99.3,997,0,144,1131
115,12:25:11,951,A,11,1,3,c,15,25,25,99.8,99.3,997,0,144,1131
115,12:24:22,969,A,11,1,1,c,83,25,25,99.8,99.3,997,0,0,1131
115,12:25:51,1005,A,11,1,1,c,30,25,25,99.8,99.3,997,0,0,1131
115,12:26:47,1039,A,11,1,4,c,8,25,25,99.8,99.3,997,0,197,1131
115,12:26:57,1047,A,11,1,4,c,5,25,25,99.8,99.3,997,0,197,1131
115,12:26:11,1058,A,11,1,3,c,62,25,25,99.8,99.3,997,0,144,1131
115,12:27:15,1061,A,11,1,3,c,2,25,25,99.8,99.3,997,0,144,1131
115,12:26:29,1065,A,11,1,1,c,52,25,25,99.8,99.3,997,0,0,1131
115,12:27:39,1092,A,11,1,4,c,9,25,25,99.8,99.3,997,0,197,1131
115,12:27:43,1095,A,11,1,2,c,8,25,25,99.8,99.3,997,0,43,1131
115,12:27:28,1098,A,11,1,3,c,25,25,25,99.8,99.3,997,0,144,1131
115,12:28:17,1123,A,11,1,4,c,2,25,25,99.8,99.3,997,0,197,1131
115,12:27:45,1126,A,11,1,1,c,37,25,25,99.8,99.3,997,0,0,1131
115,12:27:57,1135,A,11,1,3,c,35,25,25,99.8,99.3,997,0,144,1131
115,12:49:31,140,A,11,2,1,c,5,25,25,99.8,99.3,997,0,0,1023
115,12:50:16,182,A,11,2,1,c,1,25,25,99.8,99.3,997,0,0,1023
115,12:49:59,184,A,11,2,4,c,22,25,25,99.8,99.3,997,0,144,1023
115,12:50:28,240,A,11,2,4,c,47,25,25,99.8,99.3,997,0,144,1023
115,12:51:18,248,A,11,2,1,c,5,25,25,99.8,99.3,997,0,0,1023
115,12:51:26,262,A,11,2,2,c,12,25,25,99.8,99.3,997,0,56,1023
115,12:51:21,281,A,11,2,4,c,43,25,25,99.8,99.3,997,0,144,1023
115,12:51:44,295,A,11,2,2,c,27,25,25,99.8,99.3,997,0,56,1023
115,12:52:14,305,A,11,2,2,c,6,25,25,99.8,99.3,997,0,56,1023
115,12:52:22,313,A,11,2,2,c,6,25,25,99.8,99.3,997,0,56,1023
115,12:52:25,329,A,11,2,1,c,20,25,25,99.8,99.3,997,0,0,1023
115,12:52:17,337,A,11,2,4,c,36,25,25,99.8,99.3,997,0,144,1023
115,12:52:47,343,A,11,2,2,c,12,25,25,99.8,99.3,997,0,56,1023
115,12:52:48,345,A,11,2,1,c,13,25,25,99.8,99.3,997,0,0,1023
115,12:53:06,354,A,11,2,1,c,3,25,25,99.8,99.3,997,0,0,1023
115,12:52:57,357,A,11,2,4,c,16,25,25,99.8,99.3,997,0,144,1023
