File,Box,Date,Replicate,Vial #,Fly_ID,Time_In,Cop_start,Cop_end,Cop_latency,Cop_Duration,Temp,Humidity,BP 12:00 am,BP 8:00 Am,BP Room
BoxC_4-11-16_Rep1,C,11,1,1,C1111,0,0,0,0,0,25,25,99.8,99.3,997
,C,11,1,2,C1112,82,671,1577,589,906,25,25,99.8,99.3,997
,C,11,1,3,C1113,158,2230,3025,2072,795,25,25,99.8,99.3,997
,C,11,1,4,C1114,301,1920,3247,1619,1327,25,25,99.8,99.3,997
BoxC_4-11-16_Rep2,C,11,2,1,C1121,0,545,1309,545,764,25,25,99.8,99.3,997
,C,11,2,2,C1122,49,773,1683,724,910,25,25,99.8,99.3,997
,C,11,2,3,C1123,103,339,1242,236,903,25,25,99.8,99.3,997
,C,11,2,4,C1124,140,528,1449,388,921,25,25,99.8,99.3,997
BoxC_4-12-16_Rep1,C,12,1,1,C1211,0,0,0,0,0,25,23,100,100.5,1009
,C,12,1,2,C1212,65,0,0,0,0,25,23,100,100.5,1009
,C,12,1,3,C1213,138,966,1584,828,618,25,23,100,100.5,1009
,C,12,1,4,C1214,206,644,1258,438,614,25,23,100,100.5,1009
BoxC_4-12-16_Rep2,C,12,2,1,C1221,0,0,0,0,0,25,23,100,100.5,1009
,C,12,2,2,C1222,53,0,0,0,0,25,23,100,100.5,1009
,C,12,2,3,C1223,108,403,1127,295,724,25,23,100,100.5,1009
,C,12,2,4,C1224,147,0,0,0,0,25,23,100,100.5,1009
BoxC_4-12-16_Rep3,C,12,3,1,C1231,0,315,1366,315,1051,25,23,100,100.5,1009
,C,12,3,2,C1232,59,0,0,0,0,25,23,100,100.5,1009
,C,12,3,3,C1233,109,0,0,0,0,25,23,100,100.5,1009
,C,12,3,4,C1234,172,564,1327,392,763,25,23,100,100.5,1009
BoxC_4-13-16_Rep1,C,13,1,1,C1311,0,450,1388,450,938,24,22,101.5,101.8,1021
,C,13,1,2,C1312,54,160,1022,106,862,24,22,101.5,101.8,1021
,C,13,1,3,C1313,119,0,0,0,0,24,22,101.5,101.8,1021
,C,13,1,4,C1314,174,322,930,148,608,24,22,101.5,101.8,1021
BoxC_4-13-16_Rep2,C,13,2,1,C1321,0,186,900,186,714,24,22,101.5,101.8,1021
,C,13,2,2,C1322,55,1014,1827,959,813,24,22,101.5,101.8,1021
,C,13,2,3,C1323,91,0,0,0,0,24,22,101.5,101.8,1021
,C,13,2,4,C1324,141,272,867,131,595,24,22,101.5,101.8,1021
BoxC_4-13-16_Rep3,C,13,3,1,C1331,0,434,1233,434,799,24,22,101.5,101.8,1021
,C,13,3,2,C1332,38,0,0,0,0,24,22,101.5,101.8,1021
,C,13,3,3,C1333,78,0,0,0,0,24,22,101.5,101.8,1021
,C,13,3,4,C1334,107,475,1254,368,779,24,22,101.5,101.8,1021
BoxC_4-13-16_Rep4,C,13,4,1,C1341,0,1070,2054,1070,984,24,22,101.5,101.8,1021
,C,13,4,2,C1342,47,0,0,0,0,24,22,101.5,101.8,1021
,C,13,4,3,C1343,102,0,0,0,0,24,22,101.5,101.8,1021
,C,13,4,4,C1344,157,1176,2130,1019,954,24,22,101.5,101.8,1021
BoxC_4-14-16_Rep1,C,14,1,1,C1411,3,87,907,84,820,24,22,101.4,101.6,1019
,C,14,1,2,C1412,120,317,832,197,515,24,22,101.4,101.6,1019
,C,14,1,3,C1413,163,0,0,0,0,24,22,101.4,101.6,1019
,C,14,1,4,C1414,246,0,0,0,0,24,22,101.4,101.6,1019
BoxC_4-14-16_Rep2,C,14,2,1,C1421,0,1341,1954,1341,613,24,22,101.4,101.6,1019
,C,14,2,2,C1422,47,0,0,0,0,24,22,101.4,101.6,1019
,C,14,2,3,C1423,126,474,1091,348,617,24,22,101.4,101.6,1019
,C,14,2,4,C1424,192,0,0,0,0,24,22,101.4,101.6,1019
BoxC_4-14-16_Rep3,C,14,3,1,C1431,0,0,0,0,0,24,22,101.4,101.6,1019
,C,14,3,2,C1432,100,217,919,117,702,24,22,101.4,101.6,1019
,C,14,3,3,C1433,160,368,1043,208,675,24,22,101.4,101.6,1019
,C,14,3,4,C1434,203,1044,1995,841,951,24,22,101.4,101.6,1019
BoxC_4-14-16_Rep4,C,14,4,1,C1441,0,0,0,0,0,24,22,101.4,101.6,1019
,C,14,4,2,C1442,62,0,0,0,0,24,22,101.4,101.6,1019
,C,14,4,3,C1443,122,358,1195,236,837,24,22,101.4,101.6,1019
,C,14,4,4,C1444,179,429,1286,250,857,24,22,101.4,101.6,1019
BoxC_4-15-16_Rep1,C,15,1,1,C1511,0,0,0,0,0,25,22,101.4,101.5,1018
,C,15,1,2,C1512,91,375,1233,284,858,25,22,101.4,101.5,1018
,C,15,1,3,C1513,151,1285,2409,1134,1124,25,22,101.4,101.5,1018
,C,15,1,4,C1514,209,591,1523,382,932,25,22,101.4,101.5,1018
BoxC_4-15-16_Rep2,C,15,2,1,C1521,0,529,1488,529,959,25,22,101.4,101.5,1018
,C,15,2,2,C1522,58,0,0,0,0,25,22,101.4,101.5,1018
,C,15,2,3,C1523,118,1637,2392,1519,755,25,22,101.4,101.5,1018
,C,15,2,4,C1524,173,0,0,0,0,25,22,101.4,101.5,1018
BoxC_4-16-16_Rep1,C,16,1,1,C1611,0,53,805,53,752,25,22,101.4,101.7,1020
,C,16,1,2,C1612,75,0,0,0,0,25,22,101.4,101.7,1020
,C,16,1,3,C1613,146,0,0,0,0,25,22,101.4,101.7,1020
,C,16,1,4,C1614,209,0,0,0,0,25,22,101.4,101.7,1020
BoxC_4-16-16_Rep2,C,16,2,1,C1621,0,0,0,0,0,25,22,101.4,101.7,1020
,C,16,2,2,C1622,79,0,0,0,0,25,22,101.4,101.7,1020
,C,16,2,3,C1623,134,288,1122,154,834,25,22,101.4,101.7,1020
,C,16,2,4,C1624,193,0,0,0,0,25,22,101.4,101.7,1020
BoxC_4-16-16_Rep3,C,16,3,1,C1631,0,315,1186,315,871,25,22,101.4,101.7,1020
,C,16,3,2,C1632,56,0,0,0,0,25,22,101.4,101.7,1020
BoxD_4-11-16_Rep1,D,11,1,1,D1111,0,0,0,0,0,25,25,99.8,99.3,997
,D,11,1,2,D1112,92,825,1645,733,820,25,25,99.8,99.3,997
,D,11,1,3,D1113,270,490,1368,220,878,25,25,99.8,99.3,997
,D,11,1,4,D1114,390,546,1717,156,1171,25,25,99.8,99.3,997
BoxD_4-11-16_Rep2,D,11,2,1,D1121,0,826,1721,826,895,25,25,99.8,99.3,997
,D,11,2,2,D1122,86,0,0,0,0,25,25,99.8,99.3,997
